"a", "b", "c", "d", "e", "f", "g", "h", "i", "j", "k", "l", "m"
"3514","tpt","Tlachichilco Tepehua","Tepehua, Tlachichilco; TlachichilcoTepewa;","Threatened (20 percent certain, based on the evidence available)","3,000","Totonacan; Tepehua","Tlachichilco, Tierra Colorada, Chintipan, Tecomajapa","","Ethnologue distinguishes 3 Tepehua languages:
Tepehua, Huehuetla  [tee]	
Tepehua, Pisaflores  [tpp]	
Tepehua, Tlachichilco [tpt].
INALI also distinguishes 3 ""variantes"" of Tepehua.

The categorization adopted here is that of Carolyn MacKay and Frank Trechsel.","Mexico;","Mexico, Central America, Caribbean","20.5833333333,-98.25"
"3125","tlac1240","Tlacolulita Zapotec","Southeastern Yautepec Zapotec, Zapoteco de Asunción Tlacolulita","Endangered (20 percent certain, based on the evidence available)","140","Otomanguean; Zapotecan","","One of approximately 11-12 Central Zapotec languages.","","Mexico;","Mexico, Central America, Caribbean","16.3,-95.7166 "
"3513","tpx, tpc, tcf, tpl","Tlapanec","Tlappanec; Tlapaneco; Tlapanec, Me'pa; Me'phaa; Tlapaneko; Tlapaneco;","At risk (20 percent certain, based on the evidence available)","120,072","Otomanguean; Tlapanec-Subtiaba","Acatepec, Azoyú, Malinaltepec, Tlacoapa","","Ethnologue has 4 Tlapanec languages:
Me’phaa, Acatepec  [tpx]	 Me’phaa, Azoyú  [tpc]	 Me’phaa, Malinaltepec  [tcf]	 Me’phaa, Tlacoapa [tpl].","Mexico;","Mexico, Central America, Caribbean","16.7325, -98.6034; 17.2624, -98.7482; 17.4101, -99.2423; 17.8135, -98.604"
"850","tli","Tlingit","Łingít; Tlinkit; Thlinget; Inland Tlingit; Lingit; Kolosch; Kolosh","Critically Endangered (80 percent certain, based on the evidence available)","200","Athabaskan-Eyak-Tlingit; Tlingit","Tongass; Southern Sanya; Southern Henya; Transitional; Northern; Inland","","","USA;Canada;","North America","59.6200000, -132.8700000"
"3517","toz","To","","Dormant ()","0","Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa","","","","Cameroon;","Africa",""
"2143","tob","Toba","Qom; Toba Qom; Toba Sur; Namqom","Vulnerable (20 percent certain, based on the evidence available)","31,593","Guaicuruan","","","","Argentina;Paraguay;","South America","-26.5, -59.0"
"2794","tti","Tobati","Jotafa; Yotafa; Yautefa; Humboldt Jotafa; Jayapura; Enggros; Tobwadic","Severely Endangered (40 percent certain, based on the evidence available)","<100","Austronesian; Malayo-Polynesian; Oceanic; North New Guinea","","","","Indonesia;","Southeast Asia","-2.58333333333,140.666666667"
"10936","tlb","Tobelo","","Threatened (80 percent certain, based on the evidence available)","15,000","North Halmaheran","Heleworuru, Boeng, Dodinga, Lake Paca, Kukumutuk, and Popon","Language of Tobelo town and the southern portion of Kao Bay, as well as various migrant communities across Halmahera and neighboring islands. ","","Indonesia;","Southeast Asia","1.731944,128.007778"
"2451","tox","Tobian","Ramari Hatohobei; Hatohobeian; Tobi; Hatohobei;","Severely Endangered (20 percent certain, based on the evidence available)","22","Austronesian; Malayo-Polynesian; Oceanic; Micronesian","","","","Palau;","Pacific","2.9594,131.8084"
"5115","taz","Tocho","Toicho; Tacho;","Threatened (20 percent certain, based on the evidence available)","3,800","Niger-Congo; Talodi","","","","Sudan;","Africa","10.8764, 30.1135"
"5103","tcx","Toda","Todi; Tuda","Endangered (20 percent certain, based on the evidence available)","~1,000","Dravidian; South Dravidian","","","","India;","South Asia","11.4166666667,76.75"
"2365","kim","Tofa","Karagas; Tofalar; тофаларский язык; Tofaca; Tofa Türkçesi; Тоъфа дыл; Tòfa dıl; ","Critically Endangered (60 percent certain, based on the evidence available)","~40","Turkic; South Siberian","","The surviving Kamas language belongs to the Uighur-Tüküi group of the Turkic languages, related to Khakass and, in particular, to its Kyzyl dialect. Characteristically, there is a strong Samoyedic substratum. (The Red Book of the Peoples of the Russian Empire)","","Russia;","Caucasus;Europe;East Asia","53.75,98.0"
"2795","tlg","Tofanma","Tofamna;","Vulnerable (60 percent certain, based on the evidence available)","251","Namla-Tofanma","","","","Indonesia;","Southeast Asia","-3.5675,140.7925"
"842","toj","Tojolabal","tojolab'al","Threatened (20 percent certain, based on the evidence available)","","Mayan; Q'anjob'alan-Chujean","","","","Mexico;","Mexico, Central America, Caribbean","16.3333333333,-91.5"
"3543","tkl","Tokelauan","Tokelau; Fakaafo;","Threatened (20 percent certain, based on the evidence available)","Fewer than 8,000","Austronesian; Malayo-Polynesian; Oceanic; Polynesian","","","","New Zealand;Tokelau;","Pacific","-9.383, -171.224; -9.189, -171.818; -8.57, -172.501; -36.865, 174.776"
"5334","rga","Toksiki","Soisoru; Roria; Mores","Severely Endangered (20 percent certain, based on the evidence available)","75","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-15.3583,166.8988"
"2055","jic","Tol","Eastern Jicaque; Tolpan; Jicaque; Xicaque; Western Tol; Cicaque; Hicaque; Ikake; Taguaca; Tauhca; Torrupan;","Endangered (20 percent certain, based on the evidence available)","250","Jicaquean","","","","Honduras;","Mexico, Central America, Caribbean","14.6666666667,-87.0"
"2450","tlm","Tolomako","Tolomako-Jereviu; Big Bay; Marina;","Endangered (60 percent certain, based on the evidence available)","<450","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-15.1834,166.8438"
"855","tol","Tolowa","Smith River; Chetco-Tolowa; Tolowa-Chetco; Smith River Athabaskan; Chetco; Siletz Dee-ni","Awakening ()","","Athabaskan-Eyak-Tlingit; Athabaskan; Pacific Coast Athabaskan","Chetco; Tolowa","","","USA;","North America","41.9566,-124.1915"
"2796","tdi","Tomadino","","Endangered (20 percent certain, based on the evidence available)","600","Austronesian; Malayo-Polynesian; Celebic; Bungku-Tolaki","","","","Indonesia;","Southeast Asia","-2.5836,121.9729"
"2797","ttp","Tombelala","","Threatened (20 percent certain, based on the evidence available)","1,100","Austronesian; Malayo-Polynesian; Celebic; Kaili-Pamona","Mbelala;","","","Indonesia;","Southeast Asia","-2.5315,121.9454"
"2793","txm","Tomini","Tiadje; Tialo; Mouton;","Threatened (100 percent certain, based on the evidence available)","~30000","Austronesian; Malayo-Polynesian; Celebic; Tomini-Tolitoli","","","","Indonesia;","Southeast Asia",""
"8709","tst","Tondi Songway Kiini","TSK","Threatened (20 percent certain, based on the evidence available)","3,000","Songhay","","","","Mali;","Africa","15.101295, -2.771507"
"3524","tons1239","Tonsawang","Tombatu; Toundanow; Lo'bahikolai","Severely Endangered (100 percent certain, based on the evidence available)","optimistic estimate of 8,000-10,000","Austronesian; Malayo-Polynesian;Western Malayo-Polynesian; Philipine; Minahasan","","","","Indonesia;Solomon Islands;","Southeast Asia;Pacific","0.990354, 124.680771"
"2140","trz","Torá","Tora; Toraz;","Dormant ()","0","Chapacuran; Southern Chapacuran","","","","Brazil;","South America","-6.6646,-61.4135"
"582","trj","Toram","Torom; Torum;","Threatened (20 percent certain, based on the evidence available)","<4,000","Afro-Asiatic; Chadic; East Chadic","","","","Chad;","Africa","11.1581, 19.6023"
"2139","tno","Toromona","Toromono","Dormant ()","0?","Pano-Tacanan; Tacanan","","","Crevels (2012: 174): Today it is still not clear whether the group [Toromona, [tno]] perished during the rubber boom or retired to inaccessible parts of the rainforest. There are rumors about a mysterious group wandering through the forest south of the Araona territory in Puerto Araona (province of Iturralde, La Paz department). It remains a mystery whether this actually is the Toromona “ghost” group or another group.

Rodríguez Bazán (2000: 136) considers Toromona an unclassified language whose speakers have not yet been contacted by non-Indians. (Cited in Campbell 2012:148).

Ethnologue (2013): It is not clear whether this group [Toromona, [tno]] exists; they have never been contacted. There are rumors concerning an uncontacted group of Araona.","Bolivia;","South America","-12.711767,-68.248586"
"10289","tcs","Torres Strait Creole","Torres Strait Pidgin; Lockhart Creole; Torres Strait Broken; West Torres; Cape York Creole; Yumplatok; Ap-Ne-Ap; Blaik; Creole","Vulnerable (80 percent certain, based on the evidence available)","~6000","Pidgin or Creole; English based","Modern Langus; Ap-Ne-Ap","","","Australia;","Australia","-10.544521, 142.253666"
"3501","trw","Torwali","Torwālī; Turvali; Dardu","Vulnerable (100 percent certain, based on the evidence available)","80,000","Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone","Bahrain; Chail","","","Pakistan;","South Asia","34.25,72.0"
"3451","txo","Toto","Tōtō","Threatened (20 percent certain, based on the evidence available)","1,400","Sino-Tibetan; Dhimalish","","","","India;","South Asia","26.6867,89.5056"
"2488","txe","Totoli","Tontoli; Tolitoli; Gage;","Endangered (100 percent certain, based on the evidence available)","~7500","Austronesian; Malayo-Polynesian; Celebic; Tomini-Tolitoli","","","","Indonesia;","Southeast Asia",""
"10950","zph","Totomachapam","Totomachapan Zapotec, Totomachapan","","","Soltecano; Zapotec; Zapotecan","","","","Mexico;","Mexico, Central America, Caribbean",""
"3540","toc, tlp, tos, top, tcw, tku, tqt, too, tlc","Totonac","","At risk (20 percent certain, based on the evidence available)","244,033","Totonacan; Totonac","","","Ethnologue distinguishes 9 Totonac languages: 
Totonac, Coyutla [toc] 
Totonac, Filomena Mata-Coahuitlán [tlp] 
Totonac, Highland [tos] 
Totonac, Papantla [top] 
Totonac, Tecpatlán [tcw] 
Totonac, Upper Necaxa [tku] 
Totonac, Ozumatlán [tqt] 
Totonac, Xicotepec de Juárez [too] 
Totonac, Yecuatla [tlc] 
","Mexico;","Mexico, Central America, Caribbean","19.865, -96.7755; 20.1644, -97.6927; 20.1766, -98.0527; 20.4477, -97.32"
"7589","mto","Totontepec Mixe","Northern Highland Mixe, Ayuk, Northwestern Mixe","Threatened (20 percent certain, based on the evidence available)","5,200","Mixe-Zoquean; Mixean","","","Totontepec Mixe is an ""emergent language"", belonging to Oaxaca Mixe.","Mexico;","Mexico, Central America, Caribbean",""
"3495","ttk","Totoró","Totoro; Polindara","Dormant ()","Ø","Barbacoan; Northern Barbacoan","","","Ethnologue mistakenly classifies Totoro (and 5 other Coconuco ""languages"") as Paezan, rather than Barbacoan.","Colombia;","South America","2.504,-76.4016"
"10811","tqu","Touo","","Threatened (20 percent certain, based on the evidence available)","1,870","Isolate","","","Touo is sometimes grouped with the other Central Solomons languages and beyond (Wurm 1973b) but closer inspection shows that a genealogical relation is not demonstrable (Dunn and Terrill 2012, Terrill 2011)"" (Hammarström, forthcoming).","Papua New Guinea;","Pacific",""
"3494","ttn","Towei","Towe","Endangered (20 percent certain, based on the evidence available)","~115","Pauwasi","","","","Indonesia;","Southeast Asia","-3.87, 140.80"
"3127","tran1297, guev1238, lach1250, peta1247, quia1235","Transyautepecan Zapotec","Petapa Zapotec; Zapotec; Zapotec, Petapa; Zapoteco de Santa María Petapa; Eastern Zapotec; Transyautepecan Zapotec dialect continuum","Threatened (20 percent certain, based on the evidence available)","8,000","Otomanguean, Zapotecan","Santa María Petapa, Santo Domingo Petapa, Santa María Guienagati, Guevea de Humboldt, Guadalupe Guevea, Guigovelaga, Santiago Lachiguirí, Quiavicuzas","One of approximately 11-12 Central Zapotec languages.","","Mexico;","Mexico, Central America, Caribbean","16.8333,-95.1166"
"3505","trm","Tregami","Trigami; Tregāmī; Gambīrī; Gambiri","Threatened (20 percent certain, based on the evidence available)","1,000","Indo-European; Indo-Iranian; Nuristani","","","","Afghanistan;","Near East","34.9017,70.9085"
"6990","lst","Trinidad and Tobago Sign Language","Trinidad Sign Language; TTSL; TSL;","Threatened (20 percent certain, based on the evidence available)","2,000","Sign Language; South American","","","","Trindad and Tobago;","Mexico, Central America, Caribbean",""
"2909","trn","Trinitario","Trimitarios; Moxo; Moxos; Mojos;","Threatened (20 percent certain, based on the evidence available)","3,140","Arawakan; Southern Arawakan; Southern Outlier","Loreto; Javierano;","","Aikhenvald (1999a: 67) lists Moxo and Ignaciano as alternative names for the same language.  Ethnologue lists Mojo as an alternative name for Ignaciano, with Trinitario as a dialect with limited intelligibility, but also lists Trinitario as a separate language with the dialects Loreto [Loretano] and Javierano.)","Bolivia;","South America","-15.699319,-64.980583"
"2137","tri","Trió","Tiríyo; Tiriyó; Trio; Pianakoto; Tiriyo;","Threatened (20 percent certain, based on the evidence available)","2,456","Cariban; Guianan","Pianokotó (probably extinct)","","","Brazil;Suriname;","South America","3.25,-55.75"
"6193","trs, trc, trq","Triqui","","Vulnerable (20 percent certain, based on the evidence available)","25,883","Otomanguean; Mixtecan","","","Ethnologue has 3 Triqui languages:
Triqui, Chicahuaxtla  [trs]
Triqui, Copala [trc]
Triqui, San Martín Itunyoso [trq].
INALI gives 4 ""variantes"" of Triqui.	","Mexico;","Mexico, Central America, Caribbean",""
"1251","kuf-tri","Triw","Triw","Threatened (20 percent certain, based on the evidence available)","<1,328","Austro-Asiatic; Katuic; Katu","","","","Laos;","Southeast Asia","15.6833, 107.2"
"2132","tpy","Trumai","Trumaí; Tramalhy;","Critically Endangered (80 percent certain, based on the evidence available)","50","Isolate; South American","","","","Brazil;","South America","-11.9166666667,-53.5833333333"
"2690","tsb","Ts'amay","Tsamai; S'amai; Tamaha; Tsamako; Tsamakko; Bago S'aamakk-Ulo; Kuile; Kule; Cule; Tsamay; Tsemay;","Threatened (20 percent certain, based on the evidence available)","8,621","Afro-Asiatic; Cushitic; Lowland East Cushitic","","","","Ethiopia;","Africa","5.4382, 37.2463"
"4570","1iy","Ts'ixa","Ts'exa","Endangered (60 percent certain, based on the evidence available)","~180","Khoe; Kalahari","","","The Shua language Ts'exa. Very little is known about it.  Potentially a dialect of Shua [shg].","Botswana;","Africa","-19.088076, 24.301758"
"2131","cof","Tsafiki","Colorado; Tsachila; Colima; Campaz; Tsáchela; Tsafiqui; Tsáfiki;","Threatened (20 percent certain, based on the evidence available)","1,872","Barbacoan; Southern Barbacoan","","","","Ecuador;","South America","-1.0,-79.3333333333"
"3034","tkr","Tsakhur","Tsaxur; Caxur; цахурский язык; Saxur dili; წახური ენა; цӀаӀхна миз; cʼäxna miz; Sakhur; Tsakhury; Tsakhar;  ","Vulnerable (80 percent certain, based on the evidence available)","~19,000","Northeast Caucasian; Daghestanian; Lezgic","Mikik; Kirmico-Lek; Misles;","The Tsakhur language belongs to the southeastern group of the Lezgi-Samur branch of Dagestan languages. (The Red Book of the Peoples of the Russian Empire)","","Russia;Azerbaijan;","Caucasus;Europe;East Asia","41.6666666667,47.1666666667"
"3499","tsd","Tsakonian","Tsaconia; Tsakonia;","Severely Endangered (60 percent certain, based on the evidence available)","2000-4000","Indo-European; Greek; Doric","Southern Tsakonian; Northern Tsakonian;","","","Greece;","Europe","37.262826, 22.683782; 37.264144, 22.649813; 37.291668, 22.651277; 37.167092, 22.858031"
"1992","huq","Tsat","Utsat; Utset; Huihui; Hui; Hainan Cham; 回輝話; 占語","Threatened (60 percent certain, based on the evidence available)","<4,000","Austronesian; Malayo-Polynesian; Malayo-Chamic; Chamic","","","","China;","East Asia","18.25,109.5"
